,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
873,AUT,Austria,18Apr,14603,155,431,21,1621.4029999999998,17.21,47.855,2.332,175932.0,6660.0,19.534000000000002,0.7390000000000001,tests performed
874,AUT,Austria,19Apr,14662,59,443,12,1627.953,6.551,49.187,1.3319999999999999,179243.0,3311.0,19.902,0.368,tests performed
875,AUT,Austria,20Apr,14710,48,452,9,1633.283,5.33,50.187,0.9990000000000001,182949.0,3706.0,20.313,0.41100000000000003,tests performed
876,AUT,Austria,21Apr,14783,73,462,10,1641.388,8.105,51.297,1.11,189018.0,6069.0,20.987,0.674,tests performed
877,AUT,Austria,22Apr,14833,50,463,1,1646.94,5.5520000000000005,51.408,0.111,201794.0,12776.0,22.406,1.419,tests performed
878,AUT,Austria,23Apr,14924,91,494,31,1657.0439999999999,10.104,54.85,3.4419999999999997,205835.0,4041.0,22.854,0.449,tests performed
879,AUT,Austria,24Apr,14985,61,508,14,1663.817,6.773,56.403999999999996,1.554,212686.0,6851.0,23.615,0.7609999999999999,tests performed
880,AUT,Austria,25Apr,15068,83,513,5,1673.033,9.216000000000001,56.958999999999996,0.555,221089.0,8403.0,24.548000000000002,0.9329999999999999,tests performed
881,AUT,Austria,26Apr,15134,66,536,23,1680.361,7.327999999999999,59.513000000000005,2.5540000000000003,227631.0,6542.0,25.274,0.726,tests performed
882,AUT,Austria,27Apr,15189,55,542,6,1686.467,6.107,60.178999999999995,0.6659999999999999,232537.0,4906.0,25.819000000000003,0.545,tests performed
883,AUT,Austria,28Apr,15256,67,549,7,1693.9070000000002,7.439,60.957,0.777,239578.0,7041.0,26.601,0.782,tests performed
884,AUT,Austria,29Apr,15314,58,569,20,1700.346,6.44,63.177,2.221,247754.0,8176.0,27.509,0.9079999999999999,tests performed
