,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
2371,CHE,Switzerland,28Mar,12104,1390,197,36,1398.56,160.608,22.761999999999997,4.16,106000.0,9000.0,12.248,1.04,tests performed
2372,CHE,Switzerland,29Mar,13152,1048,235,38,1519.651,121.09100000000001,27.153000000000002,4.391,111000.0,5000.0,12.825999999999999,0.578,tests performed
2373,CHE,Switzerland,30Mar,14274,1122,257,22,1649.293,129.642,29.695,2.542,116700.0,5700.0,13.484000000000002,0.659,tests performed
2374,CHE,Switzerland,31Mar,15412,1138,295,38,1780.783,131.49,34.086,4.391,123150.0,6450.0,14.229000000000001,0.745,tests performed
2375,CHE,Switzerland,01Apr,16108,696,373,78,1861.203,80.419,43.098,9.013,130700.0,7550.0,15.102,0.872,tests performed
2376,CHE,Switzerland,02Apr,17070,962,378,5,1972.3570000000002,111.155,43.676,0.578,139330.0,8630.0,16.099,0.997,tests performed
2377,CHE,Switzerland,03Apr,18194,1124,432,54,2102.23,129.873,49.916000000000004,6.239,145780.0,6450.0,16.844,0.745,tests performed
2378,CHE,Switzerland,04Apr,19227,1033,484,52,2221.589,119.35799999999999,55.924,6.007999999999999,,,,,
2379,CHE,Switzerland,05Apr,20201,974,540,56,2334.13,112.541,62.394,6.471,158000.0,,18.256,,tests performed
2380,CHE,Switzerland,06Apr,21022,821,559,19,2428.992,94.863,64.59,2.195,162500.0,4500.0,18.776,0.52,tests performed
2381,CHE,Switzerland,07Apr,21574,552,584,25,2492.7729999999997,63.781000000000006,67.47800000000001,2.889,,,,,
2382,CHE,Switzerland,08Apr,22164,590,641,57,2560.945,68.172,74.065,6.586,171938.0,,19.867,,tests performed
2383,CHE,Switzerland,09Apr,22710,546,705,64,2624.033,63.088,81.459,7.395,178500.0,6562.0,20.625,0.758,tests performed
2384,CHE,Switzerland,10Apr,23495,785,756,51,2714.736,90.70299999999999,87.352,5.893,184750.0,6250.0,21.346999999999998,0.722,tests performed
