,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4595,FRA,France,24Mar,19856,3838,860,186,304.197,58.799,13.175,2.85,107546.0,,1.6480000000000001,,tests performed
4596,FRA,France,25Mar,22302,2446,1100,240,341.67,37.473,16.852,3.677,,,,,
4597,FRA,France,26Mar,25233,2931,1331,231,386.57300000000004,44.903,20.391,3.5389999999999997,,,,,
4598,FRA,France,27Mar,29155,3922,1696,365,446.659,60.086000000000006,25.983,5.5920000000000005,,,,,
4599,FRA,France,28Mar,32964,3809,1995,299,505.01300000000003,58.354,30.564,4.581,,,,,
4600,FRA,France,29Mar,37575,4611,2314,319,575.655,70.641,35.451,4.887,,,,,
4601,FRA,France,30Mar,40174,2599,2606,292,615.472,39.817,39.924,4.473,,,,,
4602,FRA,France,31Mar,44550,4376,3024,418,682.513,67.041,46.328,6.404,224254.0,,3.4360000000000004,,tests performed
4603,FRA,France,01Apr,52128,7578,3523,499,798.6089999999999,116.096,53.973,7.645,,,,,
4604,FRA,France,02Apr,56989,4861,4032,509,873.08,74.471,61.771,7.797999999999999,,,,,
4605,FRA,France,03Apr,59105,2116,4503,471,905.497,32.417,68.987,7.216,,,,,
4606,FRA,France,04Apr,64338,5233,6507,2004,985.668,80.17,99.68799999999999,30.701999999999998,,,,,
4607,FRA,France,05Apr,68605,4267,7560,1053,1051.039,65.37100000000001,115.82,16.132,,,,,
4608,FRA,France,06Apr,70478,1873,8078,518,1079.734,28.695,123.756,7.936,,,,,
4609,FRA,France,07Apr,74390,3912,8911,833,1139.6660000000002,59.931999999999995,136.518,12.762,333807.0,,5.114,,tests performed
4610,FRA,France,08Apr,78167,3777,10328,1417,1197.53,57.864,158.227,21.709,,,,,
4611,FRA,France,09Apr,82048,3881,10869,541,1256.988,59.458,166.515,8.288,,,,,
4612,FRA,France,10Apr,86334,4286,12210,1341,1322.65,65.66199999999999,187.05900000000003,20.544,,,,,
4613,FRA,France,11Apr,90676,4342,13197,987,1389.17,66.52,202.18,15.120999999999999,,,,,
4614,FRA,France,12Apr,93790,3114,13832,635,1436.8770000000002,47.707,211.908,9.728,,,,,
4615,FRA,France,13Apr,95403,1613,14393,561,1461.588,24.711,220.503,8.595,,,,,
4616,FRA,France,14Apr,98076,2673,14967,574,1502.539,40.951,229.297,8.794,463662.0,,7.103,,tests performed
4617,FRA,France,15Apr,103573,5497,15729,762,1586.754,84.215,240.97099999999998,11.674000000000001,,,,,
4618,FRA,France,16Apr,106206,2633,17167,1438,1627.092,40.338,263.001,22.03,,,,,
4619,FRA,France,17Apr,108847,2641,17920,753,1667.5520000000001,40.461,274.53700000000003,11.536,,,,,
4620,FRA,France,18Apr,109252,405,18681,761,1673.757,6.205,286.19599999999997,11.659,,,,,
4621,FRA,France,19Apr,111821,2569,19323,642,1713.115,39.357,296.031,9.836,,,,,
4622,FRA,France,20Apr,112606,785,19718,395,1725.141,12.026,302.08299999999997,6.051,,,,,
4623,FRA,France,21Apr,114657,2051,20265,547,1756.5620000000001,31.421999999999997,310.46299999999997,8.38,595154.0,,9.118,,tests performed
4624,FRA,France,22Apr,117324,2667,20796,531,1797.421,40.859,318.598,8.135,,,,,
4625,FRA,France,23Apr,119151,1827,21340,544,1825.411,27.99,326.932,8.334,,,,,
4626,FRA,France,24Apr,120804,1653,21856,516,1850.735,25.324,334.837,7.905,,,,,
4627,FRA,France,25Apr,122577,1773,22245,389,1877.898,27.163,340.79699999999997,5.96,,,,,
4628,FRA,France,26Apr,124114,1537,22614,369,1901.445,23.546999999999997,346.45,5.653,,,,,
4629,FRA,France,27Apr,124575,461,22856,242,1908.5079999999998,7.063,350.157,3.707,,,,,
4630,FRA,France,28Apr,125770,1195,23293,437,1926.815,18.308,356.852,6.695,,,,,
4631,FRA,France,29Apr,126835,1065,23660,367,1943.131,16.316,362.475,5.622000000000001,,,,,
